0,27,23,Black
2,0,40,Black
6,32,39,Black
6,43,22,Black
9,28,23,Black
12,45,18,Black
14,34,27,Black
19,12,22,Black
21,33,47,Black
23,17,44,Black
25,53,58,Black
26,17,61,Black
27,14,56,Black
31,21,49,Black
35,45,17,Black
37,19,39,Black
41,21,47,Black
43,6,23,Black
48,44,21,Black
49,4,60,Black
0,251,191,Blue
0,1,91,Blue
0,14,56,Blue
0,25,244,Blue
0,28,200,Blue
0,56,187,Blue
0,92,252,Blue
0,103,132,Blue
0,166,212,Blue
0,171,246,Blue
0,194,186,Blue
0,253,202,Blue
0,254,201,Blue
1,33,97,Blue
1,4,143,Blue
1,69,79,Blue
1,26,221,Blue
1,123,152,Blue
1,167,202,Blue
1,108,194,Blue
2,8,91,Blue
2,22,69,Blue
2,74,64,Blue
2,128,218,Blue
2,142,185,Blue
2,164,157,Blue
2,170,246,Blue
2,219,201,Blue
3,194,225,Blue
3,53,76,Blue
3,81,88,Blue
3,34,171,Blue
3,74,236,Blue
3,96,186,Blue
3,97,102,Blue
3,119,200,Blue
3,133,223,Blue
3,255,255,Blue
4,5,133,Blue
4,52,178,Blue
4,84,201,Blue
4,111,120,Blue
4,118,189,Blue
4,120,239,Blue
4,125,134,Blue
4,127,253,Blue
4,150,216,Blue
4,161,172,Blue
4,179,120,Blue
4,204,173,Blue
4,229,190,Blue
4,253,191,Blue
4,181,141,Blue
5,213,196,Blue
5,11,51,Blue
5,46,93,Blue
5,17,194,Blue
5,38,123,Blue
5,62,168,Blue
5,74,246,Blue
5,154,244,Blue
5,180,204,Blue
5,249,254,Blue
5,187,245,Blue
5,197,253,Blue
5,202,253,Blue
6,13,67,Blue
6,10,147,Blue
6,24,229,Blue
6,79,186,Blue
6,106,215,Blue
6,125,161,Blue
6,194,169,Blue
6,251,202,Blue
7,229,159,Blue
7,235,205,Blue
7,242,241,Blue
7,243,229,Blue
7,0,153,Blue
7,26,76,Blue
7,4,182,Blue
7,38,208,Blue
7,39,236,Blue
7,94,211,Blue
7,133,188,Blue
7,133,252,Blue
7,175,177,Blue
7,192,243,Blue
7,194,253,Blue
8,219,240,Blue
8,236,189,Blue
8,243,223,Blue
8,244,128,Blue
8,244,203,Blue
8,1,168,Blue
8,54,169,Blue
8,74,137,Blue
8,80,179,Blue
8,103,146,Blue
8,114,158,Blue
8,194,177,Blue
8,244,173,Blue
8,252,184,Blue
8,224,215,Blue
9,135,149,Blue
9,0,106,Blue
9,4,106,Blue
9,27,155,Blue
9,74,216,Blue
9,84,190,Blue
9,108,138,Blue
10,153,114,Blue
10,231,255,Blue
10,250,127,Blue
10,251,145,Blue
10,15,68,Blue
